
Ingredient_Name,INCI_Name,Primary_Function,Anti_Aging_Effectiveness,Acne_Effectiveness,Hyperpigmentation_Effectiveness,Hydration_Effectiveness,Sensitivity_Effectiveness,Clinical_Studies_Count,Evidence_Level,Optimal_Concentration_Min,Optimal_Concentration_Max,Time_To_Results_Weeks,Mechanism_Of_Action,Synergistic_Partners,Antagonistic_Ingredients,pH_Stability_Min,pH_Stability_Max,Molecular_Weight,Penetration_Ability,Cost_Effectiveness_Rating,Availability_Rating,Tolerability_Rating,Pregnancy_Safe,Breastfeeding_Safe,Usage_Notes_EN,Usage_Notes_AR
Retinyl Palmitate,Retinyl Palmitate,Anti-aging Active,7.0,6.5,6.0,5.0,6.5,65,High,0.5,2.0,12,Converts to retinol in skin,Vitamin C; Vitamin E; Ceramides,Benzoyl Peroxide; Strong acids,5.0,7.5,524.86,Medium,7.5,8.5,7.5,No,No,Milder than retinol but still requires caution during pregnancy,أكثر اعتدالاً من الريتينول لكن يتطلب حذراً أثناء الحمل
Retinaldehyde,Retinaldehyde,Anti-aging Active,8.5,7.5,7.0,5.5,7.0,35,Medium,0.05,0.1,10,Direct precursor to retinoic acid,Vitamin E; Niacinamide; Hyaluronic Acid,Benzoyl Peroxide; AHA,5.5,7.0,284.44,High,6.0,6.5,7.5,No,No,More potent than retinol. Not safe for pregnancy,أكثر فعالية من الريتينول. غير آمن أثناء الحمل
Tretinoin,Tretinoin,Prescription Retinoid,9.8,9.5,8.5,4.0,3.0,300,Very High,0.025,0.1,12,Direct retinoic acid activity,Moisturizers; Ceramides,Benzoyl Peroxide; AHA/BHA,5.0,7.0,300.44,Very High,4.0,3.0,4.0,No,No,Prescription only. Highly effective but requires medical supervision,بوصفة طبية فقط. فعال جداً لكن يتطلب إشرافاً طبياً
Adapalene,Adapalene,Prescription Retinoid,8.5,9.0,7.0,4.0,5.0,120,Very High,0.1,0.3,8,Third-generation retinoid,Moisturizers; Niacinamide,Benzoyl Peroxide,4.0,8.0,412.52,High,5.0,4.0,6.0,No,No,Available OTC in some countries. Not safe during pregnancy,متاح بدون وصفة في بعض البلدان. غير آمن أثناء الحمل
Tazarotene,Tazarotene,Prescription Retinoid,9.0,9.5,8.0,3.5,3.5,85,High,0.05,0.1,10,Third-generation retinoid,Moisturizers; Ceramides,Strong acids; Benzoyl Peroxide,5.0,7.5,351.46,Very High,3.5,2.5,4.0,No,No,Prescription only. Very potent retinoid,بوصفة طبية فقط. ريتينويد قوي جداً
Isotretinoin,Isotretinoin,Prescription Retinoid,9.5,9.8,8.0,2.0,2.0,200,Very High,10,40,16,Systemic retinoid therapy,None (oral medication),Vitamin A supplements,N/A,N/A,300.44,Systemic,2.0,1.0,3.0,No,No,Oral medication only. Requires strict pregnancy prevention,دواء فموي فقط. يتطلب منع حمل صارم
Retinyl Acetate,Retinyl Acetate,Anti-aging Active,6.5,6.0,5.5,5.0,7.0,25,Low,0.5,2.0,14,Converts to retinol in skin,Vitamin E; Ceramides; Hyaluronic Acid,Strong acids,5.0,7.5,328.49,Medium,8.0,8.5,8.0,No,No,Gentler retinoid derivative but still not pregnancy-safe,مشتق ريتينويد أكثر اعتدالاً لكن غير آمن للحمل
Magnesium Ascorbyl Phosphate,Magnesium Ascorbyl Phosphate,Vitamin C Derivative,7.0,5.0,7.5,6.0,8.5,45,Medium,10.0,20.0,8,Stable vitamin C form,Niacinamide; Hyaluronic Acid; Vitamin E,None known,6.0,8.0,374.27,Low,7.0,8.0,8.5,Yes,Yes,More stable than L-ascorbic acid. Good for sensitive skin,أكثر استقراراً من حمض الأسكوربيك. مناسب للبشرة الحساسة
Sodium Ascorbyl Phosphate,Sodium Ascorbyl Phosphate,Vitamin C Derivative,6.5,6.5,7.0,6.0,8.0,35,Medium,5.0,20.0,8,Stable vitamin C with antimicrobial properties,Niacinamide; Zinc; Hyaluronic Acid,None known,6.5,7.5,322.05,Low,7.5,8.5,8.5,Yes,Yes,Good for acne-prone skin. Less irritating than L-ascorbic acid,مناسب للبشرة المعرضة لحب الشباب. أقل تهيجاً من حمض الأسكوربيك
Ascorbyl Glucoside,Ascorbyl Glucoside,Vitamin C Derivative,6.0,4.5,6.5,6.5,9.0,20,Low,2.0,10.0,10,Slow-release vitamin C,Hyaluronic Acid; Niacinamide; Ceramides,None known,5.0,8.0,338.27,Low,7.0,7.5,9.0,Yes,Yes,Very gentle vitamin C derivative. Suitable for all skin types,مشتق فيتامين سي لطيف جداً. مناسب لجميع أنواع البشرة
Panthenol (Pro-Vitamin B5),Panthenol,Humectant/Soothing,5.0,4.0,3.0,8.5,9.5,60,High,1.0,5.0,2,Converts to pantothenic acid in skin,Hyaluronic Acid; Ceramides; Allantoin,None known,4.0,8.0,205.25,Medium,8.5,9.5,9.5,Yes,Yes,Excellent for sensitive and damaged skin. Very well tolerated,ممتاز للبشرة الحساسة والمتضررة. مقبول جداً
Pantothenic Acid (Vitamin B5),Pantothenic Acid,Skin Conditioning,4.5,4.5,3.0,7.5,8.5,25,Low,0.5,2.0,4,Essential for skin barrier function,Panthenol; Ceramides; Niacinamide,None known,4.0,8.0,219.23,Medium,7.5,8.0,9.0,Yes,Yes,Supports skin barrier repair and hydration,يدعم إصلاح حاجز البشرة والترطيب
Glycerin,Glycerin,Humectant,4.0,3.0,2.0,9.0,9.5,150,Very High,3.0,15.0,1,Attracts moisture from environment,Hyaluronic Acid; Ceramides; Urea,None known,3.0,9.0,92.09,Low,9.5,10.0,9.5,Yes,Yes,Most common humectant. Can be used in high concentrations,أكثر المرطبات شيوعاً. يمكن استخدامه بتراكيز عالية
Propylene Glycol,Propylene Glycol,Humectant/Solvent,3.5,3.0,2.0,8.0,7.0,80,High,2.0,10.0,1,Enhances penetration and provides hydration,Hyaluronic Acid; Glycerin; Urea,None known,3.0,9.0,76.09,Medium,9.0,9.5,8.0,Yes,Yes,May cause irritation in sensitive individuals,قد يسبب تهيجاً للأشخاص ذوي البشرة الحساسة
Butylene Glycol,Butylene Glycol,Humectant/Solvent,3.0,3.0,2.0,7.5,8.5,45,Medium,1.0,10.0,1,Lightweight humectant with antimicrobial properties,Hyaluronic Acid; Niacinamide; Peptides,None known,3.0,9.0,90.12,Medium,8.5,9.0,8.5,Yes,Yes,Less sticky than glycerin. Good texture enhancer,أقل لزوجة من الجليسرين. محسن جيد للملمس
Pentylene Glycol,Pentylene Glycol,Humectant/Preservative,3.0,4.0,2.0,7.0,8.0,25,Low,1.0,5.0,2,Antimicrobial humectant,Hyaluronic Acid; Niacinamide; Plant extracts,None known,4.0,8.0,104.15,Medium,7.5,8.0,8.5,Yes,Yes,Natural preservative booster with hydrating properties,معزز حافظة طبيعي مع خصائص مرطبة
Hexylene Glycol,Hexylene Glycol,Solvent/Humectant,2.5,3.0,2.0,6.5,7.5,15,Low,0.5,3.0,2,Solvent and texture enhancer,Silicones; Emulsifiers; Fragrances,None known,4.0,8.0,118.17,Medium,8.0,8.5,8.0,Yes,Yes,Improves product texture and stability,يحسن ملمس المنتج واستقراره
Caprylyl Glycol,Caprylyl Glycol,Humectant/Preservative,3.0,4.5,2.0,7.0,8.5,20,Low,0.2,1.0,2,Antimicrobial humectant,Phenoxyethanol; Plant extracts; Peptides,None known,4.0,8.0,146.23,Medium,7.0,7.5,8.5,Yes,Yes,Gentle preservative with moisturizing benefits,حافظة لطيفة مع فوائد مرطبة
Squalane,Squalane,Emollient,5.5,2.0,2.0,8.0,9.0,65,High,1.0,10.0,2,Mimics skin's natural sebum,Hyaluronic Acid; Ceramides; Retinol,None known,4.0,8.0,422.81,High,8.0,8.5,9.5,Yes,Yes,Lightweight non-comedogenic oil. Suitable for all skin types,زيت خفيف غير مسدود للمسام. مناسب لجميع أنواع البشرة
Jojoba Oil,Simmondsia Chinensis Seed Oil,Emollient,5.0,3.5,2.0,7.5,8.5,40,Medium,2.0,20.0,3,Wax ester similar to human sebum,Vitamin E; Rosehip Oil; Ceramides,None known,4.0,8.0,594.0,High,7.5,8.0,8.5,Yes,Yes,Technically a wax ester. Balances oil production,تقنياً هو إستر شمعي. يوازن إنتاج الزيت
Argan Oil,Argania Spinosa Kernel Oil,Emollient/Antioxidant,6.0,3.0,3.0,7.0,8.0,35,Medium,2.0,15.0,4,Rich in vitamin E and fatty acids,Vitamin C; Hyaluronic Acid; Rosehip Oil,None known,4.0,8.0,879.0,Medium,6.5,7.0,8.0,Yes,Yes,High in antioxidants. Good for mature skin,غني بمضادات الأكسدة. مناسب للبشرة الناضجة
Rosehip Oil,Rosa Canina Fruit Oil,Emollient/Anti-aging,7.0,4.0,6.0,7.0,7.5,30,Medium,2.0,10.0,6,Rich in vitamin A and essential fatty acids,Vitamin C; Vitamin E; Hyaluronic Acid,Retinoids (may increase sensitivity),4.0,7.0,280.0,High,6.0,6.5,7.5,Yes,Yes,Contains natural retinoids. Use with caution if using other retinoids,يحتوي على ريتينويدات طبيعية. استخدم بحذر مع ريتينويدات أخرى
Marula Oil,Sclerocarya Birrea Seed Oil,Emollient/Antioxidant,5.5,2.5,3.0,8.0,8.5,20,Low,1.0,10.0,3,High in antioxidants and oleic acid,Vitamin C; Hyaluronic Acid; Ceramides,None known,4.0,8.0,282.0,High,5.5,6.0,8.5,Yes,Yes,Fast-absorbing oil with anti-aging properties,زيت سريع الامتصاص مع خصائص مكافحة الشيخوخة
Sea Buckthorn Oil,Hippophae Rhamnoides Oil,Emollient/Healing,6.0,4.0,5.0,7.5,7.0,25,Low,1.0,5.0,4,Rich in vitamins and omega fatty acids,Vitamin E; Aloe Vera; Calendula,None known,4.0,7.0,280.0,Medium,5.0,5.5,7.5,Yes,Yes,Excellent for damaged or irritated skin,ممتاز للبشرة المتضررة أو المتهيجة
Shea Butter,Butyrospermum Parkii Butter,Emollient/Anti-inflammatory,5.0,2.0,2.0,8.5,8.5,45,Medium,2.0,25.0,2,Rich in vitamins A and E,Ceramides; Hyaluronic Acid; Oat Extract,None known,4.0,8.0,284.0,Low,8.5,9.0,9.0,Yes,Yes,Excellent for dry and sensitive skin. Natural anti-inflammatory,ممتاز للبشرة الجافة والحساسة. مضاد التهاب طبيعي
Cocoa Butter,Theobroma Cacao Seed Butter,Emollient/Antioxidant,4.5,1.5,2.0,8.0,7.5,30,Low,5.0,30.0,3,Rich in antioxidants and fatty acids,Shea Butter; Vitamin E; Coconut Oil,None known,4.0,8.0,284.0,Low,7.5,8.5,8.0,Yes,Yes,Heavy emollient. Best for very dry skin,مطري ثقيل. الأفضل للبشرة الجافة جداً
Mango Butter,Mangifera Indica Seed Butter,Emollient/Healing,4.0,2.0,2.5,8.0,8.5,15,Low,2.0,20.0,3,Rich in vitamins A and C,Shea Butter; Hyaluronic Acid; Aloe Vera,None known,4.0,8.0,284.0,Low,7.0,7.5,8.5,Yes,Yes,Softer than shea butter. Good for sensitive skin,أنعم من زبدة الشيا. مناسب للبشرة الحساسة
Murumuru Butter,Astrocaryum Murumuru Seed Butter,Emollient/Conditioning,3.5,1.5,2.0,7.5,8.5,10,Low,1.0,15.0,3,Lightweight butter with silky feel,Hyaluronic Acid; Ceramides; Plant oils,None known,4.0,8.0,284.0,Medium,6.0,6.5,8.5,Yes,Yes,Lightweight alternative to traditional butters,بديل خفيف للزبدات التقليدية
Cupuacu Butter,Theobroma Grandiflorum Seed Butter,Emollient/Hydrating,4.0,2.0,2.0,8.5,8.5,12,Low,2.0,20.0,3,Superior water absorption capacity,Hyaluronic Acid; Ceramides; Glycerin,None known,4.0,8.0,284.0,Low,6.5,7.0,8.5,Yes,Yes,Absorbs more water than shea butter,يمتص الماء أكثر من زبدة الشيا
Ceramide NP,Ceramide NP,Barrier Repair,7.5,4.0,3.0,8.5,9.0,85,High,0.1,2.0,4,Restores skin barrier function,Hyaluronic Acid; Cholesterol; Fatty acids,None known,4.0,8.0,537.9,Medium,6.5,7.0,9.0,Yes,Yes,Essential for barrier repair. Most abundant ceramide in skin,أساسي لإصلاح الحاجز. أكثر السيراميدات وفرة في البشرة
Ceramide AP,Ceramide AP,Barrier Repair,7.0,4.0,3.0,8.0,9.0,60,High,0.1,1.5,4,Supports barrier function and exfoliation,Ceramide NP; Cholesterol; Niacinamide,None known,4.0,8.0,647.0,Medium,6.0,6.5,9.0,Yes,Yes,Helps with natural exfoliation process,يساعد في عملية التقشر الطبيعية
Ceramide EOP,Ceramide EOP,Barrier Repair,6.5,3.5,3.0,8.0,9.0,45,Medium,0.05,1.0,4,Critical for barrier integrity,Ceramide NP; Ceramide AP; Cholesterol,None known,4.0,8.0,766.0,Medium,5.5,6.0,9.0,Yes,Yes,Essential for maintaining skin barrier,أساسي للحفاظ على حاجز البشرة
Phytosphingosine,Phytosphingosine,Antimicrobial/Barrier,6.0,6.5,3.0,7.0,8.5,35,Medium,0.1,0.5,3,Antimicrobial and barrier support,Ceramides; Niacinamide; Salicylic Acid,None known,4.0,8.0,317.5,Medium,5.0,5.5,8.5,Yes,Yes,Natural antimicrobial with barrier benefits,مضاد ميكروبي طبيعي مع فوائد للحاجز
Cholesterol,Cholesterol,Barrier Repair,6.0,3.0,2.0,7.5,8.5,40,Medium,0.5,3.0,4,Essential component of skin barrier,Ceramides; Fatty acids; Squalane,None known,4.0,8.0,386.65,Low,6.5,7.5,8.5,Yes,Yes,Works synergistically with ceramides,يعمل بشكل تآزري مع السيراميدات
Dimethicone,Dimethicone,Occlusive/Emollient,4.0,2.0,1.0,7.0,8.5,100,High,1.0,10.0,1,Forms protective barrier on skin,Hyaluronic Acid; Glycerin; Ceramides,None known,4.0,8.0,Variable,Low,8.5,9.5,8.5,Yes,Yes,Non-comedogenic silicone. Provides immediate smoothing,سيليكون غير مسدود للمسام. يوفر نعومة فورية
Cyclopentasiloxane,Cyclopentasiloxane,Volatile Silicone,3.0,2.0,1.0,5.0,8.0,45,Medium,1.0,15.0,1,Provides silky feel and evaporates,Dimethicone; Emollients; Sunscreens,None known,4.0,8.0,370.77,Low,8.0,9.0,8.5,Yes,Yes,Evaporates leaving silky finish. Good for oily skin,يتبخر تاركاً ملمساً حريرياً. مناسب للبشرة الدهنية
Cyclohexasiloxane,Cyclohexasiloxane,Volatile Silicone,3.0,2.0,1.0,5.0,8.0,30,Low,1.0,10.0,1,Lightweight silicone with good spread,Dimethicone; Emollients; Makeup,None known,4.0,8.0,444.92,Low,7.5,8.5,8.5,Yes,Yes,Good for makeup primers and lightweight formulas,مناسب لبرايمر المكياج والتركيبات الخفيفة
Phenyl Trimethicone,Phenyl Trimethicone,Emollient Silicone,3.5,2.0,1.0,6.0,8.0,20,Low,1.0,8.0,1,Provides gloss and water resistance,Dimethicone; Sunscreens; Emollients,None known,4.0,8.0,254.47,Low,7.0,8.0,8.5,Yes,Yes,Adds shine and water resistance to formulas,يضيف لمعاناً ومقاومة للماء للتركيبات
Amodimethicone,Amodimethicone,Conditioning Silicone,4.0,2.5,1.0,6.5,8.0,25,Low,0.5,3.0,2,Cationic silicone for conditioning,Dimethicone; Conditioning agents; Proteins,Anionic surfactants,4.0,8.0,Variable,Low,6.5,7.5,8.0,Yes,Yes,Provides conditioning benefits. Used mainly in hair care,يوفر فوائد تكييفية. يُستخدم بشكل أساسي في العناية بالشعر
Zinc Oxide,Zinc Oxide,Sunscreen/Soothing,5.0,6.0,3.0,4.0,9.5,200,Very High,5.0,25.0,1,Physical UV protection and anti-inflammatory,Titanium Dioxide; Iron Oxides; Dimethicone,None known,4.0,9.0,81.38,Low,8.0,9.5,9.5,Yes,Yes,Broad spectrum physical sunscreen. Safe for sensitive skin,واقي شمس فيزيائي واسع الطيف. آمن للبشرة الحساسة
Titanium Dioxide,Titanium Dioxide,Sunscreen/Whitening,4.0,3.0,2.0,3.0,9.5,180,Very High,2.0,20.0,1,Physical UV protection,Zinc Oxide; Iron Oxides; Silicones,None known,4.0,9.0,79.87,Low,8.5,9.5,9.5,Yes,Yes,Excellent UV protection. Can leave white cast,حماية ممتازة من الأشعة فوق البنفسجية. قد يترك طبقة بيضاء
Iron Oxides,Iron Oxides,Colorant/UV Protection,2.0,2.0,1.0,2.0,9.0,50,Medium,0.5,15.0,1,Provides color and some UV protection,Zinc Oxide; Titanium Dioxide; Mica,None known,4.0,9.0,159.69,Low,7.5,9.0,9.0,Yes,Yes,Natural colorants with UV protection benefits,ملونات طبيعية مع فوائد الحماية من الأشعة فوق البنفسجية
Avobenzone,Avobenzone,Chemical Sunscreen,3.0,2.0,2.0,3.0,6.0,120,High,1.0,3.0,1,UVA protection,Octocrylene; Octinoxate; Homosalate,Iron; Zinc Oxide,4.0,8.0,310.39,Medium,7.0,8.5,6.5,No,No,Can cause sensitivity. Avoid during pregnancy,قد يسبب حساسية. تجنب أثناء الحمل
Octinoxate,Octinoxate,Chemical Sunscreen,3.0,2.0,2.0,3.0,6.5,100,High,2.0,7.5,1,UVB protection,Avobenzone; Octocrylene; Titanium Dioxide,None known,4.0,8.0,178.23,Medium,7.5,8.5,6.5,No,No,Hormone disruptor concerns. Avoid during pregnancy,مخاوف من اضطراب الهرمونات. تجنب أثناء الحمل
Octocrylene,Octocrylene,Chemical Sunscreen,3.0,2.0,2.0,3.0,7.0,90,High,2.0,10.0,1,UVB protection and photostabilizer,Avobenzone; Octinoxate; Homosalate,None known,4.0,8.0,361.48,Medium,7.5,8.5,7.0,Yes,Yes,Helps stabilize other sunscreen ingredients,يساعد في تثبيت مكونات واقي الشمس الأخرى
Homosalate,Homosalate,Chemical Sunscreen,2.5,2.0,2.0,3.0,7.0,70,Medium,4.0,15.0,1,UVB protection,Avobenzone; Octinoxate; Octocrylene,None known,4.0,8.0,262.35,Medium,7.5,8.5,7.0,Yes,Yes,Commonly used UVB filter,مرشح UVB شائع الاستخدام
Oxybenzone,Oxybenzone,Chemical Sunscreen,3.0,2.0,2.0,3.0,5.0,150,High,1.0,6.0,1,Broad spectrum UV protection,Avobenzone; Octinoxate; Homosalate,None known,4.0,8.0,228.24,High,6.0,8.0,5.5,No,No,Hormone disruptor. Banned in some locations,مضطرب هرموني. محظور في بعض الأماكن
Benzophenone-3,Benzophenone-3,Chemical Sunscreen,3.0,2.0,2.0,3.0,5.5,80,Medium,1.0,6.0,1,UV protection,Other chemical sunscreens,None known,4.0,8.0,228.24,High,6.5,7.5,5.5,No,No,Same as oxybenzone. Avoid during pregnancy,نفس الأوكسيبنزون. تجنب أثناء الحمل
Phenoxyethanol,Phenoxyethanol,Preservative,2.0,3.0,1.0,3.0,7.5,120,High,0.5,1.0,1,Broad spectrum antimicrobial,Caprylyl Glycol; Ethylhexylglycerin; Sorbic Acid,None known,4.0,8.0,138.16,Medium,8.5,9.5,8.0,Yes,Yes,Most common preservative. Generally well tolerated,أكثر المواد الحافظة شيوعاً. مقبول عموماً
Methylparaben,Methylparaben,Preservative,2.0,3.5,1.0,2.0,6.0,200,Very High,0.1,0.4,1,Antimicrobial preservation,Propylparaben; Phenoxyethanol; EDTA,None known,4.0,8.0,152.15,Medium,9.0,9.5,6.5,No,No,Paraben concerns. Avoid during pregnancy,مخاوف البارابين. تجنب أثناء الحمل
Propylparaben,Propylparaben,Preservative,2.0,3.5,1.0,2.0,6.0,180,Very High,0.05,0.2,1,Antimicrobial preservation,Methylparaben; Phenoxyethanol; EDTA,None known,4.0,8.0,180.20,Medium,9.0,9.5,6.5,No,No,Paraben concerns. Avoid during pregnancy,مخاوف البارابين. تجنب أثناء الحمل
Butylparaben,Butylparaben,Preservative,2.0,3.5,1.0,2.0,5.5,150,High,0.05,0.2,1,Antimicrobial preservation,Other parabens; Phenoxyethanol,None known,4.0,8.0,194.23,Medium,8.5,9.0,6.0,No,No,Stronger paraben concerns. Avoid during pregnancy,مخاوف بارابين أقوى. تجنب أثناء الحمل
Ethylparaben,Ethylparaben,Preservative,2.0,3.5,1.0,2.0,6.0,160,High,0.1,0.4,1,Antimicrobial preservation,Other parabens; Phenoxyethanol,None known,4.0,8.0,166.17,Medium,8.5,9.0,6.5,No,No,Paraben concerns. Avoid during pregnancy,مخاوف البارابين. تجنب أثناء الحمل
Benzyl Alcohol,Benzyl Alcohol,Preservative/Solvent,2.0,3.0,1.0,3.0,7.0,60,Medium,0.5,1.0,1,Antimicrobial and solvent,Dehydroacetic Acid; Phenoxyethanol,None known,4.0,8.0,108.14,Medium,8.0,8.5,7.5,Yes,Yes,Natural preservative. Can cause sensitivity in some,حافظة طبيعية. قد تسبب حساسية لدى البعض
Dehydroacetic Acid,Dehydroacetic Acid,Preservative,2.0,3.5,1.0,2.0,7.0,40,Medium,0.1,0.6,1,Antimicrobial preservation,Benzyl Alcohol; Phenoxyethanol,None known,4.0,8.0,168.15,Medium,7.0,7.5,7.5,Yes,Yes,Often used with benzyl alcohol,غالباً ما يُستخدم مع الكحول البنزيلي
Sodium Benzoate,Sodium Benzoate,Preservative,2.0,3.0,1.0,2.0,7.5,80,High,0.1,0.5,1,Antimicrobial preservation,Potassium Sorbate; Citric Acid,Vitamin C (forms benzene),4.0,8.0,144.10,Medium,8.5,9.0,8.0,Yes,Yes,Natural preservative. Avoid with vitamin C,حافظة طبيعية. تجنب مع فيتامين سي
Potassium Sorbate,Potassium Sorbate,Preservative,2.0,3.0,1.0,2.0,8.0,70,Medium,0.1,0.5,1,Antimicrobial preservation,Sodium Benzoate; Citric Acid,None known,4.0,8.0,150.22,Medium,8.0,8.5,8.5,Yes,Yes,Natural preservative from mountain ash berries,حافظة طبيعية من توت الرماد الجبلي
Sorbic Acid,Sorbic Acid,Preservative,2.0,3.0,1.0,2.0,7.5,60,Medium,0.1,0.6,1,Antimicrobial preservation,Potassium Sorbate; Phenoxyethanol,None known,4.0,6.0,112.13,Medium,7.5,8.0,8.0,Yes,Yes,Natural preservative. pH dependent,حافظة طبيعية. تعتمد على الرقم الهيدروجيني
Ethylhexylglycerin,Ethylhexylglycerin,Preservative Booster,2.5,3.5,1.0,4.0,8.0,50,Medium,0.1,1.0,1,Antimicrobial and skin conditioning,Phenoxyethanol; Caprylyl Glycol,None known,4.0,8.0,204.31,Medium,7.5,8.0,8.5,Yes,Yes,Multifunctional preservative booster,معزز حافظة متعدد الوظائف
Tocopherol (Vitamin E),Tocopherol,Antioxidant,6.5,3.0,4.0,6.0,8.5,150,Very High,0.1,1.0,4,Neutralizes free radicals,Vitamin C; Ferulic Acid; Retinol,None known,4.0,8.0,430.71,Medium,7.5,8.5,8.5,Yes,Yes,Most potent form of vitamin E. Excellent antioxidant,أقوى أشكال فيتامين هـ. مضاد أكسدة ممتاز
Tocopheryl Acetate,Tocopheryl Acetate,Antioxidant,6.0,3.0,3.5,5.5,8.5,100,High,0.1,2.0,4,Stable vitamin E form,Vitamin C; Retinol; Hyaluronic Acid,None known,4.0,8.0,472.74,Medium,8.0,9.0,8.5,Yes,Yes,More stable than tocopherol. Converts to vitamin E in skin,أكثر استقراراً من التوكوفيرول. يتحول إلى فيتامين هـ في البشرة
